Exhibit 1: ZeeTrans Projected Sales Volumes by Segment (in units),,,,,,,
Production Forecast,2022,2023,2024,2025,2026,,
Value Based Pricing Summary,,,EcoBus Efficiency ,1.82 kWh/mi,,,
CRV,"$480,000.00",,VMT(miles/year),"36,000",,,
PDV,"$1,029,472.00",,kWh,65520,,,
NDV,"$103,624.00",,Electricity Consumption Charge,"$7,862.40",0.12*65520,,
EV,"$1,405,848.00",,Considering 10 years,"$78,624.00",,,
,,,Now adding the costs associated with the charger and electricity,,,,
,,,"$50,000(0.5 charger per bus) + $78,624(Elect cost over 10 years)",,,,
,,,"$103,624",This is the NDV per bus when considering the charger capacity,,,
,,,,,,,
,,,,,,,
,,,,,,,
Microsoft Word - A-EcoBus EVE Assignment,,,,,,,
,,,,,,,
"Based on your value estimation, what price do you recommend that Chen charge the MBTA for EcoBus? ",,,,,,,
"Discuss this in terms of key considerations such as value capture, relative differentiation, contribution margin, pricing strategy, etc. ",,,,,,,
"Do a breakeven sales- change calculation contrasting your recommended price with the status quo price (cost- plus), and use it to explain what this calculation reveals about your new price. ",,,,,,,
"Specifically, how many sales could ZeeTrans afford to lose?",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Assuming 30 %,,,,,,,
,,,,Value Based Pricing Summary,,,
Considerations ,Value Capture,,,CRV,"$480,000.00",,
,Relative Differentiation,,,PDV,"$1,029,472.00",,
,Contribution Margin,,,NDV,"$103,624.00",,
,Pricing Strategy,,,EV,"$1,405,848.00",,
,,,,,,,
,,,,,,,
"In Order to ensure market penetration and competitiveness, the price should capture a portion of this additional value, not the entire PDV.",,,,,,,
,,,,,,,
Value Capture,Assumption 50%,"$514,736.00",,,,,
Relative Differentiation,"

The EcoBus has a considerable advantage over diesel and hybrid buses, especially in terms of operational costs and environmental friendliness. This differentiation supports a higher price.",,,,,,
Pricing Strategy,Value based pricing would justify its premium pricing,,,,,,
,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,
50% of PDV,"$514,736.00",as per our assumption,,,,,
Recommended Price fro EcoBus,,,,,,,
Considering 50% of the PDV,,,,,,,
Recommended Price fro EcoBus,CRV + 0.5xPDV - NDV,,,,,,
Substituting Values,"$891,112.00",,,,,,
Production Cost,497000,,,,,,
Value Capture,"At this ($944,736.00)price, ZeeTrans captures a significant portion of the value created without pricing too high. This aligns with value-based pricing principles.",,,,,,
Relative Differentiation,"

The EcoBus has a considerable advantage over diesel and hybrid buses, especially in terms of operational costs and environmental friendliness. This differentiation supports a higher price.",,,,,,
Contribution Margin,"$394,112.00",891112 - 497000,,,,,
Production Cost,"497,000",,,,,Recommended Price,"$891,112.00"
,,,,,,Cost Plus Pricing,"$571,550"
Selling Price,"$891,112.00",,,,CM for Recommended,"$394,112.00",
Cost,"497,000",,,,Cm for cost plus,"$74,550",
Contribution Margin,"$394,112.00",,,,,,
,,,,,% price change,55.91%,
,,,,,New CM,44.23%,
,,,,,% BE Sales Change,-56%,
,,,,,,,
,,,,,Unit can be afforded ,-279.1708122,279 Units 
Original CM,CRV - COST,"-$17,000.00",,,,,
% Change in Price ,New price - old price/old price *100,85.65%,,,,,
New CM %,New CM/New Price *100,44.23%,,,,,
%BE SALES CHANGE,- Price Change % / CM% + Price Change %,-66%,,,,,
"It implies that ZeeTrans could afford a reduction of approximately 67% in sales volume and still break even with the original scenario of selling at the CRV of $480,000.",,,,,,,
,,,,,,,
Sales Volume lets take 2022 - ie 500 units,,,,,,,
For 500 Units,-329.7329017,Can afford to loose 336 units,,,,,
,,,,,,,
EV Buses Production Forecast,2022,2023,2024,2025,2026,,
500,-329.7329017,,,,,,
1100,,-725.4123838,,,,,
2200,,,-1450.824768,,,,
2860,,,,-1886.072198,,,
3500,,,,,-2308.130312,,
,,,,,,,
,,,,,,,
"So, ZeeTrans could afford to lose about 336 units in sales and still break even with the original scenario when selling the EcoBus at the recommended price of $944,736.00",,,,,,,
"This calculation reveals the strength of value-based pricing. 
Despite a higher selling price, the increased contribution margin means that ZeeTrans can afford a significant reduction in sales volume and still maintain the same level of profitability. 
It provides flexibility and security against fluctuations in sales volumes, highlighting the importance of focusing on profitability per unit rather than just sales volume.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Microsoft Word - A-EcoBus EVE Assignment,,,,,,,
4,,,,,,,
"Calculate prices using the alternative pricing orientations on page 6 of the case (e.g., competition-based, status quo/cost-plus) and compare them to your recommended price.",,,,,,,
"How would you judge the usefulness of these different approaches in this situation? 
",,,,,,,
How much money over the next three years would be left on the table if the firm were to adopt each of these pricing orientations ─ quantify the total financial impact compared to economic value-based pricing.,,,,,,,
,,,,,,,
1. Competition Based Pricing ,,,,,,,
Bluebird diesel buses are priced at ,"480,000",,,,,,
ZeeTrans could charge the same price for the EcoBus under a competition-based pricing strategy.,,,,,,,
,,,,,,,
2. Cost Plus Pricing (Status Quo),,,,,,,
Cost Of Production ,497000,,,,,,
Markup,15%,584705.8824,,,,,
,74550,,,,,,
,"$571,550.00",,,,,,
Cost Plus Price,,,,,,,
,,,,,,,
3. EVE ,"$891,112.00",,,,,,
Recommended Price ,"$891,112.00",,,,,,
,,,,,,,
,,,,,,,
"Over the next 3 years i.e 2023, 2024, 2025",,,,,,,
,,,,,,,
Calculating total revenue for each pricing strategy,,,,Total Units Calculation in 3 years,,,
Total Units in 3 years ,6160,,,Competition-Based Pricing,"$2,956,800,000.00",,
,,,,Cost-Plus Pricing,"$3,520,748,000.00",,
2023,1100,,,EVE Pricing,"$5,489,249,920.00",,
2024,2200,,,,,,
2025,2860,,,,,,
,,,,,,,
,,,,,,,
Revenue Individually per year,2023,2024,2025,Total,,,
EV revenue Competition based,"$528,000,000.00","$1,056,000,000.00","$1,372,800,000.00","$2,956,800,000.00",,,
Cost Plus Pricing,"$628,705,000.00","$1,257,410,000.00","$1,634,633,000.00","$3,520,748,000.00",,,
EVE Pricing,"$980,223,200.00","$1,960,446,400.00","$2,548,580,320.00","$5,489,249,920.00",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Quantifying total financial impact,,,,,,,
Competition based,"$2,532,449,920.00",,,,,,
Cost Plus Pricing ,"$1,968,501,920.00",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. Competition based,"This approach may make EcoBus competitive in terms of price, but it leaves a significant amount of money on the table because it doesn’t account for the additional value that EcoBus offers compared to traditional diesel buses.",,,,,,
2. Cost Plus Pricing ,"This approach ensures that all costs are covered and a profit margin is secured. However, it also may not capture the full value that EcoBus provides to customers, leading to less potential revenue compared to EVE pricing.",,,,,,
3. EVE,This approach aims to price the product based on the economic value it delivers to customers.,,,,,,
,"It could potentially maximize revenue but might also face challenges in convincing customers about the perceived value, especially if it leads to a significantly higher price.",,,,,,
,,,,,,,
Judging the Usefulness of Different Approaches,,,,,,,
"Competition-Based Pricing: This is straightforward and ensures the product is priced competitively in the market. However, it doesn't consider the added value and differentiating factors of the product.",,,,,,,
"Status Quo/Cost-Plus Pricing: This ensures that the cost of production is covered with a profit margin. But it can sometimes result in prices that are either too high or too low, not reflecting the actual value of the product to customers.",,,,,,,
"Economic Value-Based Pricing (EVE): This approach aims to price the product based on its perceived value to customers. While it can maximize revenue, it's often challenging to quantify all elements of value, and it requires convincing the customer of this perceived value.",,,,,,,
,,,,,,,
Considering CM for money left on the table,,,,,,,
1. Competition-Based Pricing:,,,,,,,
CM = Selling Price (Competition-Based) - Cost of Production,,,,,,,
Total Contribution from Competition-Based Pricing = CM * Projected Sales Volume for 3 years,,,,,,,
Selling Price,"480,000",,,,,,
CM = Selling Price (Competition-Based) - Cost of Production,-17000,,,,,,
minus - this means the competition based price doesnot cover the production cost,,,,,,,
Total Contribution for 3 years ,-104720000,,,,,,
,,,,,,,
,,,,,,,
2. Cost Plus Pricing,,,,,,,
Selling Price,"$571,550.00",,,,,,
CM,"$74,550.00",,,,,,
Total Contribution for 3 years,"$459,228,000.00",,,,,,
,,,,,,,
,,,,,,,
3. EVE,,,,,,,
Selling Price,"$891,112.00",,,,,,
CM,"$394,112.00",,,,,,
Total Contribution for 3 years,"$2,427,729,920.00",,,,,,
,,,,,,,
Money Left on the table,,,,,"Competition-Based: $433,523,200 - (-$18,700,000) = $452,223,200",,
For Competition-Based Pricing,"$2,532,449,920.00",,,,"Cost Plus: $433,523,200 - $96,476,468.80 = $337,046,731.20",,
For Cost-Plus Pricing,"$1,968,501,920.00",,,,,,
,,,,,,,
The above calculation shows - the competition based pricing leaves a significant amount of money on the table,,,,,,,
The cost based pricing captures more value but still doesnt maximizes the potential value as the EVE does over the projected sales volume of 3 years,,,,,,,
,,,,,,,
Lets breakdown per year basis also,,,,,,,
,,,,,,,
2023,1100,,,,,,
2024,2200,,,,,,
2025,2860,,,,,,
,,,,,,,
,,,,,,,
,2023,2024,2025,Total,,,
Competition Based Pricing,"-$18,700,000.00","-$37,400,000.00",-48620000,"-$104,720,000.00",,,
Cost-Plus Pricing,"$82,005,000.00","$164,010,000.00","$74,550.00","$246,089,550.00",,,
EVE Contribution,"$433,523,200.00","$867,046,400.00","$1,127,160,320.00","$2,427,729,920.00",,,
,,,,,,,
,2023,2024,2025,Total,,,
Competition Based Pricing,"$452,223,200.00","$904,446,400.00","$1,175,780,320.00","$2,532,449,920.00",,,
Cost-Plus Pricing,"$351,518,200.00","$703,036,400.00","$1,127,085,770.00","$2,181,640,370.00",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Analysis,,,,,,,
1. Competition Based Analysis,,,,,,,
"This approach is simple and ensures that the price is competitive in the market. However, it does not consider the additional value provided by the EcoBus, leading to a significant amount of money left on the table.",,,,,,,
,,,,,,,
2. Cost-Plus Pricing,,,,,,,
"This method ensures that all costs are covered, and a profit margin is secured. ",,,,,,,
"However, it may not fully capture the value that EcoBus provides to the customers.",,,,,,,
,,,,,,,
3. EVE Pricing,,,,,,,
This strategy aims to price the product based on the economic value it delivers to the customer. ,,,,,,,
It is the most advantageous as it captures the maximum value while justifying the price to the customer.,,,,,,,
,,,,,,,
Conclusion,,,,,,,
Adopting competition-based or cost-plus pricing would lead to a loss of potential revenue.,,,,,,,
"EVE pricing, while complex, ensures that the price is set in correlation with the value delivered, maximizing revenue.",,,,,,,
"The firm could potentially leave over a billion dollars on the table with competition-based pricing, ",,,,,,,
"and nearly 300 million with cost-plus, highlighting the financial advantage of adopting a value-based pricing strategy.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5. Recommend a value communication strategy for this new product and pricing strategy. ,,,,,,,
What approaches to value framing could support EcoBus’ positioning with customers and why?,,,,,,,
How should ZeeTrans use the value communication tools we learned in class to communicate value to customers?,,,,,,,
How will your recommendations address sales force concerns and customers’ concerns? Be specific.,,,,,,,
